#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,X0;X2;@17226,anbxj.AnBx_Params
1,0,charlie,alice,sent,X0;X2;@17226,string
1,0,alice,charlie,received,X0;X2;@17226,string
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,charlie,sent,X0,string
1,1,charlie,alice,received,X0,string
1,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,2,charlie,alice,sent,X2,string
1,2,alice,charlie,received,X2,string
1,2,alice,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,3,alice,-,generateNumberMsg,X3,anbxj.Crypto_ByteArray
1,3,alice,charlie,sent,@49e4cb85,javax.crypto.SealedObject
1,3,charlie,alice,received,@49e4cb85,javax.crypto.SealedObject
1,3,charlie,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
1,4,charlie,bob,sent,X3,string
1,4,bob,charlie,received,X3,string
1,4,bob,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
