#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,charlie;david;X0,anbxj.AnBx_Params
1,0,charlie,-,AnBx_Params,X1;X0;X2,anbxj.AnBx_Params
1,0,charlie,-,AnBx_Params,charlie;david;X0;@7c16905e,anbxj.AnBx_Params
1,0,charlie,alice,sent,charlie;david;X0;@7c16905e,java.security.SignedObject
1,0,alice,charlie,received,charlie;david;X0;@7c16905e,java.security.SignedObject
1,0,alice,-,eq_check,david,java.lang.String.toString
1,0,alice,-,AnBx_Params,X1;X0;X2,anbxj.AnBx_Params
1,0,alice,-,AnBx_Params,X1;X0;X2,anbxj.AnBx_Params
1,0,alice,-,AnBx_Params,charlie;david;X0,anbxj.AnBx_Params
1,0,alice,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,0,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,1,alice,-,generateNumber,X4,anbxj.Crypto_ByteArray
1,1,alice,-,generateNumber,X5,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,X3;X4;X6,anbxj.AnBx_Params
1,1,alice,-,AnBx_Params,alice;david;X0;@5f341870;@f6c48ac,anbxj.AnBx_Params
1,1,alice,bob,sent,alice;david;X0;@5f341870;@f6c48ac,javax.crypto.SealedObject
1,1,bob,alice,received,alice;david;X0;@5f341870;@f6c48ac,javax.crypto.SealedObject
1,1,bob,-,eq_check,alice,java.lang.String.toString
1,1,bob,-,eq_check,david,java.lang.String.toString
1,2,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,bob;alice;david;@1784c;X7,anbxj.AnBx_Params
1,2,bob,-,AnBx_Params,david;@1784c;X7;X0,anbxj.AnBx_Params
1,2,bob,-,AnBx_Params,X8;@26653222,anbxj.AnBx_Params
1,2,bob,-,AnBx_Params,alice;@26be92ad;@d8355a8;@f6c48ac;@4667ae56,anbxj.AnBx_Params
1,2,bob,alice,sent,alice;@26be92ad;@d8355a8;@f6c48ac;@4667ae56,javax.crypto.SealedObject
1,2,alice,bob,received,alice;@26be92ad;@d8355a8;@f6c48ac;@4667ae56,javax.crypto.SealedObject
1,2,alice,-,eq_check,alice,java.lang.String.toString
1,2,alice,-,eq_check,david,java.lang.String.toString
1,2,alice,-,eq_check,X8,anbxj.Crypto_ByteArray.toString
1,2,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,3,alice,-,generateNumber,X9,anbxj.Crypto_ByteArray
1,3,alice,-,AnBx_Params,alice;alice;alice;@1474f;X9,anbxj.AnBx_Params
1,3,alice,-,AnBx_Params,david;@1784c;X7;X0,anbxj.AnBx_Params
1,3,alice,-,AnBx_Params,X8;@56ef9176,anbxj.AnBx_Params
1,3,alice,-,AnBx_Params,charlie;@5025a98f;@6e1ec318;@3327bd23;@21213b92,anbxj.AnBx_Params
1,3,alice,charlie,sent,charlie;@5025a98f;@6e1ec318;@3327bd23;@21213b92,javax.crypto.SealedObject
1,3,charlie,alice,received,charlie;@5025a98f;@6e1ec318;@3327bd23;@21213b92,javax.crypto.SealedObject
1,3,charlie,-,eq_check,charlie,java.lang.String.toString
1,3,charlie,-,AnBx_Params,X8;@53b32d7,anbxj.AnBx_Params
1,3,charlie,-,eq_check,david,java.lang.String.toString
1,3,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,3,charlie,-,AnBx_Params,X8;@7085bdee,anbxj.AnBx_Params
1,3,charlie,-,eq_check,X8,anbxj.Crypto_ByteArray.toString
1,4,charlie,-,generateNumber,X10,anbxj.Crypto_ByteArray
1,4,charlie,-,AnBx_Params,charlie;X7,anbxj.AnBx_Params
1,4,charlie,-,AnBx_Params,eve;X10;@18be83e4;@56ac3a89,anbxj.AnBx_Params
1,4,charlie,alice,sent,eve;X10;@18be83e4;@56ac3a89,javax.crypto.SealedObject
1,4,alice,charlie,received,eve;X10;@18be83e4;@56ac3a89,javax.crypto.SealedObject
1,4,alice,-,eq_check,eve,java.lang.String.toString
1,4,alice,-,AnBx_Params,charlie;X7,anbxj.AnBx_Params
1,4,alice,-,eq_check,charlie,java.lang.String.toString
1,4,alice,-,AnBx_Params,charlie;david;X0,anbxj.AnBx_Params
1,4,alice,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,4,alice,-,AnBx_Params,charlie;X7,anbxj.AnBx_Params
1,4,alice,-,eq_check,X7,anbxj.Crypto_ByteArray.toString
1,4,alice,-,AnBx_Params,alice;alice;alice;@1474f;X9,anbxj.AnBx_Params
1,4,alice,-,eq_check,alice,java.lang.String.toString
1,4,alice,-,eq_check,alice,java.lang.String.toString
1,4,alice,-,eq_check,alice,java.lang.String.toString
1,4,alice,-,eq_check,@1474f,javax.crypto.spec.SecretKeySpec.toString
1,4,alice,-,eq_check,X9,anbxj.Crypto_ByteArray.toString
1,4,alice,-,eq_check,alice;alice;alice;@1474f;X9,anbxj.AnBx_Params.toString
1,5,alice,-,generateNumber,X11,anbxj.Crypto_ByteArray
1,5,alice,-,generateNumber,X12,anbxj.Crypto_ByteArray
1,5,alice,-,AnBx_Params,alice;alice;@fffe92db;X11,anbxj.AnBx_Params
1,5,alice,-,AnBx_Params,eve;@162dc;X12;X10,anbxj.AnBx_Params
1,5,alice,-,AnBx_Params,charlie;@520a3426;@2b2948e2,anbxj.AnBx_Params
1,5,alice,charlie,sent,charlie;@520a3426;@2b2948e2,javax.crypto.SealedObject
1,5,charlie,alice,received,charlie;@520a3426;@2b2948e2,javax.crypto.SealedObject
1,5,charlie,-,eq_check,charlie,java.lang.String.toString
1,5,charlie,-,eq_check,eve,java.lang.String.toString
1,5,charlie,-,eq_check,X10,anbxj.Crypto_ByteArray.toString
1,6,charlie,-,AnBx_Params,charlie;X13,anbxj.AnBx_Params
1,6,charlie,-,AnBx_Params,@69ea3742;@5025a98f,anbxj.AnBx_Params
1,6,charlie,alice,sent,@69ea3742;@5025a98f,javax.crypto.SealedObject
1,6,alice,charlie,received,@69ea3742;@5025a98f,javax.crypto.SealedObject
1,6,alice,-,inv_check,X10,anbxj.Crypto_ByteArray.toString
1,6,alice,-,inv_check,X7,anbxj.Crypto_ByteArray.toString
1,6,alice,-,AnBx_Params,charlie;X13,anbxj.AnBx_Params
1,6,alice,-,eq_check,charlie,java.lang.String.toString
1,6,alice,-,AnBx_Params,charlie;david;X0,anbxj.AnBx_Params
1,6,alice,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,6,alice,-,AnBx_Params,alice;alice;@fffe92db;X11,anbxj.AnBx_Params
1,6,alice,-,eq_check,alice,java.lang.String.toString
1,6,alice,-,eq_check,alice,java.lang.String.toString
1,6,alice,-,eq_check,@fffe92db,javax.crypto.spec.SecretKeySpec.toString
1,6,alice,-,eq_check,X11,anbxj.Crypto_ByteArray.toString
1,6,alice,-,eq_check,alice;alice;@fffe92db;X11,anbxj.AnBx_Params.toString
1,6,alice,-,AnBx_Params,charlie;X13,anbxj.AnBx_Params
1,6,alice,-,eq_check,X13,anbxj.Crypto_ByteArray.toString
1,7,alice,-,generateNumberPayload2,X14,anbxj.Crypto_ByteArray
1,7,alice,-,AnBx_Params,X8;X14,anbxj.AnBx_Params
1,7,alice,-,AnBx_Params,@23e028a9;@5c5a1b69,anbxj.AnBx_Params
1,7,alice,charlie,sent,@23e028a9;@5c5a1b69,javax.crypto.SealedObject
1,7,charlie,alice,received,@23e028a9;@5c5a1b69,javax.crypto.SealedObject
1,7,charlie,-,AnBx_Params,X8;X14,anbxj.AnBx_Params
1,7,charlie,-,eq_check,X8,anbxj.Crypto_ByteArray.toString
1,7,charlie,-,eq_check,X13,anbxj.Crypto_ByteArray.toString
1,7,charlie,-,AnBx_Params,X8;X14,anbxj.AnBx_Params
1,7,charlie,-,inv_check,X14,anbxj.Crypto_ByteArray.toString
2,0,charlie,-,generateNumber,X15,anbxj.Crypto_ByteArray
2,0,charlie,-,generateNumber,X16,anbxj.Crypto_ByteArray
2,0,charlie,-,AnBx_Params,charlie;david;X15,anbxj.AnBx_Params
2,0,charlie,-,AnBx_Params,X16;X15;X17,anbxj.AnBx_Params
2,0,charlie,-,AnBx_Params,charlie;david;X15;@6fc6f14e,anbxj.AnBx_Params
2,0,charlie,alice,sent,charlie;david;X15;@6fc6f14e,java.security.SignedObject
2,0,alice,charlie,received,charlie;david;X15;@6fc6f14e,java.security.SignedObject
2,0,alice,-,eq_check,david,java.lang.String.toString
2,0,alice,-,AnBx_Params,X16;X15;X17,anbxj.AnBx_Params
2,0,alice,-,AnBx_Params,X16;X15;X17,anbxj.AnBx_Params
2,0,alice,-,AnBx_Params,charlie;david;X15,anbxj.AnBx_Params
2,0,alice,-,eq_check,X17,anbxj.Crypto_ByteArray.toString
2,0,alice,-,eq_check,X15,anbxj.Crypto_ByteArray.toString
