#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,generateNumberNxNA,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
1,0,charlie,alice,sent,@3e6fa38a;@5e5792a0,javax.crypto.SealedObject
1,0,alice,charlie,received,@3e6fa38a;@5e5792a0,javax.crypto.SealedObject
1,0,alice,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
1,0,alice,-,inv_check,charlie,java.lang.String.toString
1,0,alice,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
1,1,alice,-,AnBx_Params,X0;charlie,anbxj.AnBx_Params
1,1,alice,bob,sent,@14acaea5;@26be92ad,javax.crypto.SealedObject
1,1,bob,alice,received,@14acaea5;@26be92ad,javax.crypto.SealedObject
1,1,bob,-,inv_check,charlie,java.lang.String.toString
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,2,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
1,2,bob,alice,sent,@55f3ddb1;@29ee9faa,javax.crypto.SealedObject
1,2,alice,bob,received,@55f3ddb1;@29ee9faa,javax.crypto.SealedObject
1,2,alice,-,inv_check,@ae45eb6;@59f99ea,anbxj.Crypto_SealedPair.toString
1,3,alice,charlie,sent,@ae45eb6;@59f99ea,javax.crypto.SealedObject
1,3,charlie,alice,received,@ae45eb6;@59f99ea,javax.crypto.SealedObject
1,3,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,charlie,alice,sent,@56ac3a89;@1e397ed7,javax.crypto.SealedObject
1,4,alice,charlie,received,@56ac3a89;@1e397ed7,javax.crypto.SealedObject
1,4,alice,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
1,5,alice,bob,sent,@6a41eaa2;@6a4f787b,javax.crypto.SealedObject
1,5,bob,alice,received,@6a41eaa2;@6a4f787b,javax.crypto.SealedObject
1,5,bob,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
