#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,david,-,generateNumberURI,X0,anbxj.Crypto_ByteArray
1,0,david,-,AnBx_Params,david;alice;X0,anbxj.AnBx_Params
1,0,david,alice,sent,david;alice;X0,string
1,0,alice,david,received,david;alice;X0,string
1,0,alice,-,eq_check,david,java.lang.String.toString
1,1,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,david;bob;X1,anbxj.AnBx_Params
1,1,alice,bob,sent,david;bob;X1,string
1,1,bob,alice,received,david;bob;X1,string
1,1,bob,-,eq_check,david,java.lang.String.toString
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
1,2,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,david;charlie;bob;X2;X1,anbxj.AnBx_Params
1,2,bob,alice,sent,david;charlie;bob;X2;X1,string
1,2,alice,bob,received,david;charlie;bob;X2;X1,string
1,2,alice,-,eq_check,david,java.lang.String.toString
1,2,alice,-,eq_check,bob,java.lang.String.toString
1,2,alice,-,eq_check,charlie,java.lang.String.toString
1,2,alice,-,eq_check,X1,anbxj.Crypto_ByteArray.toString
1,3,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,3,alice,-,AnBx_Params,david;charlie;alice;X3;X0,anbxj.AnBx_Params
1,3,alice,david,sent,david;charlie;alice;X3;X0,string
1,3,david,alice,received,david;charlie;alice;X3;X0,string
1,3,david,-,eq_check,david,java.lang.String.toString
1,3,david,-,eq_check,alice,java.lang.String.toString
1,3,david,-,eq_check,charlie,java.lang.String.toString
1,3,david,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,david,-,AnBx_Params,david;charlie;alice;X3;X0,anbxj.AnBx_Params
1,4,david,alice,sent,@358c99f5;@161b062a,javax.crypto.SealedObject
1,4,alice,david,received,@358c99f5;@161b062a,javax.crypto.SealedObject
1,4,alice,-,inv_check,@75f9eccc;@52aa2946,anbxj.Crypto_SealedPair.toString
1,4,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
1,5,alice,charlie,sent,@75f9eccc;@52aa2946,javax.crypto.SealedObject
1,5,charlie,alice,received,@75f9eccc;@52aa2946,javax.crypto.SealedObject
1,5,charlie,-,eq_check,david,java.lang.String.toString
1,5,charlie,-,eq_check,charlie,java.lang.String.toString
1,6,charlie,-,AnBx_Params,david;charlie,anbxj.AnBx_Params
1,6,charlie,-,AnBx_Params,@8bd1b6a;X0,anbxj.AnBx_Params
1,6,charlie,alice,sent,@1e88b3c;@3e6fa38a,javax.crypto.SealedObject
1,6,alice,charlie,received,@1e88b3c;@3e6fa38a,javax.crypto.SealedObject
