#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,bob,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,bob,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,0,bob,-,AnBx_Params,bob;@c818063,anbxj.AnBx_Params
1,0,bob,alice,sent,bob;@c818063,javax.crypto.SealedObject
1,0,alice,bob,received,bob;@c818063,javax.crypto.SealedObject
1,0,alice,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,0,alice,-,eq_check,bob,java.lang.String.toString
1,1,alice,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,X3;X2,anbxj.AnBx_Params
1,1,alice,bob,sent,@3f3afe78,javax.crypto.SealedObject
1,1,bob,alice,received,@3f3afe78,javax.crypto.SealedObject
1,1,bob,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
1,2,bob,alice,sent,@3796751b,javax.crypto.SealedObject
1,2,alice,bob,received,@3796751b,javax.crypto.SealedObject
1,2,alice,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
1,3,alice,-,generateNumberNB2,X5,anbxj.Crypto_ByteArray
1,3,alice,bob,sent,@7a0ac6e3,javax.crypto.SealedObject
1,3,bob,alice,received,@7a0ac6e3,javax.crypto.SealedObject
1,3,bob,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
1,3,bob,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
2,0,bob,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,0,bob,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,0,bob,-,AnBx_Params,bob;@3d8c7aca,anbxj.AnBx_Params
2,0,bob,alice,sent,bob;@3d8c7aca,javax.crypto.SealedObject
2,0,alice,bob,received,bob;@3d8c7aca,javax.crypto.SealedObject
2,0,alice,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,0,alice,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
2,0,alice,-,eq_check,bob,java.lang.String.toString
2,1,alice,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,1,alice,-,AnBx_Params,X8;X7,anbxj.AnBx_Params
2,1,alice,bob,sent,@67b64c45,javax.crypto.SealedObject
2,1,bob,alice,received,@67b64c45,javax.crypto.SealedObject
2,1,bob,-,eq_check,X8,anbxj.Crypto_ByteArray.toString
2,2,bob,alice,sent,@79b4d0f,javax.crypto.SealedObject
2,2,alice,bob,received,@79b4d0f,javax.crypto.SealedObject
2,2,alice,-,eq_check,X9,anbxj.Crypto_ByteArray.toString
2,3,alice,-,generateNumberNB2,X10,anbxj.Crypto_ByteArray
2,3,alice,bob,sent,@1554909b,javax.crypto.SealedObject
2,3,bob,alice,received,@1554909b,javax.crypto.SealedObject
2,3,bob,-,inv_check,X7,anbxj.Crypto_ByteArray.toString
2,3,bob,-,inv_check,X10,anbxj.Crypto_ByteArray.toString
3,0,bob,-,generateNumber,X11,anbxj.Crypto_ByteArray
3,0,bob,-,AnBx_Params,X1;X11,anbxj.AnBx_Params
3,0,bob,-,AnBx_Params,bob;@13fee20c,anbxj.AnBx_Params
3,0,bob,alice,sent,bob;@13fee20c,javax.crypto.SealedObject
3,0,alice,bob,received,bob;@13fee20c,javax.crypto.SealedObject
3,0,alice,-,AnBx_Params,X1;X11,anbxj.AnBx_Params
3,0,alice,-,inv_check,X11,anbxj.Crypto_ByteArray.toString
3,0,alice,-,eq_check,bob,java.lang.String.toString
3,1,alice,-,generateNumber,X12,anbxj.Crypto_ByteArray
3,1,alice,-,AnBx_Params,X13;X12,anbxj.AnBx_Params
3,1,alice,bob,sent,@21bcffb5,javax.crypto.SealedObject
3,1,bob,alice,received,@21bcffb5,javax.crypto.SealedObject
3,1,bob,-,eq_check,X13,anbxj.Crypto_ByteArray.toString
3,2,bob,alice,sent,@246ae04d,javax.crypto.SealedObject
3,2,alice,bob,received,@246ae04d,javax.crypto.SealedObject
3,2,alice,-,eq_check,X14,anbxj.Crypto_ByteArray.toString
3,3,alice,-,generateNumberNB2,X15,anbxj.Crypto_ByteArray
3,3,alice,bob,sent,@79b4d0f,javax.crypto.SealedObject
3,3,bob,alice,received,@79b4d0f,javax.crypto.SealedObject
3,3,bob,-,inv_check,X12,anbxj.Crypto_ByteArray.toString
3,3,bob,-,inv_check,X15,anbxj.Crypto_ByteArray.toString
4,0,bob,-,generateNumber,X16,anbxj.Crypto_ByteArray
4,0,bob,-,AnBx_Params,X1;X16,anbxj.AnBx_Params
