#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
1,0,charlie,-,AnBx_Params,X0;X2;@fffe8898,anbxj.AnBx_Params
1,0,charlie,alice,sent,X0;X2;@fffe8898,string
1,0,alice,charlie,received,X0;X2;@fffe8898,string
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,bob,sent,X0,string
1,1,bob,alice,received,X0,string
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,2,bob,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
1,2,bob,alice,sent,X2,string
1,2,alice,bob,received,X2,string
1,2,alice,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,3,alice,-,generateNumberMsg,X3,anbxj.Crypto_ByteArray
1,3,alice,bob,sent,@340f438e,javax.crypto.SealedObject
1,3,bob,alice,received,@340f438e,javax.crypto.SealedObject
1,3,bob,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
