#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,AnBx_Params,alice;,anbxj.AnBx_Params
1,0,charlie,alice,sent,@6cc4c815,java.security.SignedObject
1,0,alice,charlie,received,@6cc4c815,java.security.SignedObject
1,0,alice,-,AnBx_Params,alice;,anbxj.AnBx_Params
1,0,alice,-,eq_check,alice,java.lang.String.toString
1,0,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,0,alice,-,eq_check,,anbxj.AnBx_Params.toString
1,1,alice,charlie,sent,X0,string
1,1,charlie,alice,received,X0,string
1,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,2,charlie,-,AnBx_Params,bob;,anbxj.AnBx_Params
1,2,charlie,bob,sent,@224edc67,java.security.SignedObject
1,2,bob,charlie,received,@224edc67,java.security.SignedObject
1,2,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
1,2,bob,-,eq_check,bob,java.lang.String.toString
1,2,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,2,bob,-,eq_check,,anbxj.AnBx_Params.toString
1,3,bob,alice,sent,X0,string
1,3,alice,bob,received,X0,string
1,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,alice,-,generateNumberText1,X1,anbxj.Crypto_ByteArray
1,4,alice,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,4,alice,-,AnBx_Params,X2;bob;X1,anbxj.AnBx_Params
1,4,alice,-,AnBx_Params,@531be3c5;@ae45eb6,anbxj.AnBx_Params
1,4,alice,bob,sent,@531be3c5;@ae45eb6,java.security.SignedObject
1,4,bob,alice,received,@531be3c5;@ae45eb6,java.security.SignedObject
1,4,bob,-,eq_check,alice,java.lang.String.toString
1,4,bob,-,AnBx_Params,X2;bob;X1,anbxj.AnBx_Params
1,4,bob,-,eq_check,bob,java.lang.String.toString
1,4,bob,-,AnBx_Params,X2;bob;X1,anbxj.AnBx_Params
1,4,bob,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
1,5,bob,-,generateNumberText3,X3,anbxj.Crypto_ByteArray
1,5,bob,-,generateNumber,X4,anbxj.Crypto_ByteArray
1,5,bob,-,AnBx_Params,X4;alice;X3,anbxj.AnBx_Params
1,5,bob,-,AnBx_Params,@2cb4c3ab;@1794d431,anbxj.AnBx_Params
1,5,bob,alice,sent,@2cb4c3ab;@1794d431,java.security.SignedObject
1,5,alice,bob,received,@2cb4c3ab;@1794d431,java.security.SignedObject
1,5,alice,-,AnBx_Params,X4;alice;X3,anbxj.AnBx_Params
1,5,alice,-,eq_check,alice,java.lang.String.toString
1,5,alice,-,eq_check,bob,java.lang.String.toString
1,5,alice,-,AnBx_Params,X4;alice;X3,anbxj.AnBx_Params
1,5,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
2,0,charlie,-,AnBx_Params,alice;,anbxj.AnBx_Params
2,0,charlie,alice,sent,@523884b2,java.security.SignedObject
2,0,alice,charlie,received,@523884b2,java.security.SignedObject
2,0,alice,-,AnBx_Params,alice;,anbxj.AnBx_Params
2,0,alice,-,eq_check,alice,java.lang.String.toString
2,0,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
2,0,alice,-,eq_check,,anbxj.AnBx_Params.toString
2,1,alice,charlie,sent,X0,string
2,1,charlie,alice,received,X0,string
2,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
2,2,charlie,-,AnBx_Params,bob;,anbxj.AnBx_Params
2,2,charlie,bob,sent,@ae45eb6,java.security.SignedObject
2,2,bob,charlie,received,@ae45eb6,java.security.SignedObject
2,2,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
2,2,bob,-,eq_check,bob,java.lang.String.toString
2,2,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
2,2,bob,-,eq_check,,anbxj.AnBx_Params.toString
2,3,bob,alice,sent,X0,string
2,3,alice,bob,received,X0,string
2,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
2,4,alice,-,generateNumberText1,X5,anbxj.Crypto_ByteArray
2,4,alice,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,4,alice,-,AnBx_Params,X6;bob;X5,anbxj.AnBx_Params
2,4,alice,-,AnBx_Params,@1794d431;@1a968a59,anbxj.AnBx_Params
2,4,alice,bob,sent,@1794d431;@1a968a59,java.security.SignedObject
2,4,bob,alice,received,@1794d431;@1a968a59,java.security.SignedObject
2,4,bob,-,eq_check,alice,java.lang.String.toString
2,4,bob,-,AnBx_Params,X6;bob;X5,anbxj.AnBx_Params
2,4,bob,-,eq_check,bob,java.lang.String.toString
2,4,bob,-,AnBx_Params,X6;bob;X5,anbxj.AnBx_Params
2,4,bob,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
2,5,bob,-,generateNumberText3,X7,anbxj.Crypto_ByteArray
2,5,bob,-,generateNumber,X8,anbxj.Crypto_ByteArray
2,5,bob,-,AnBx_Params,X8;alice;X7,anbxj.AnBx_Params
2,5,bob,-,AnBx_Params,@204f30ec;@239963d8,anbxj.AnBx_Params
2,5,bob,alice,sent,@204f30ec;@239963d8,java.security.SignedObject
2,5,alice,bob,received,@204f30ec;@239963d8,java.security.SignedObject
2,5,alice,-,AnBx_Params,X8;alice;X7,anbxj.AnBx_Params
2,5,alice,-,eq_check,alice,java.lang.String.toString
2,5,alice,-,eq_check,bob,java.lang.String.toString
2,5,alice,-,AnBx_Params,X8;alice;X7,anbxj.AnBx_Params
2,5,alice,-,inv_check,X7,anbxj.Crypto_ByteArray.toString
3,0,charlie,-,AnBx_Params,alice;,anbxj.AnBx_Params
3,0,charlie,alice,sent,@77caeb3e,java.security.SignedObject
3,0,alice,charlie,received,@77caeb3e,java.security.SignedObject
3,0,alice,-,AnBx_Params,alice;,anbxj.AnBx_Params
3,0,alice,-,eq_check,alice,java.lang.String.toString
3,0,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
3,0,alice,-,eq_check,,anbxj.AnBx_Params.toString
3,1,alice,charlie,sent,X0,string
3,1,charlie,alice,received,X0,string
3,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
3,2,charlie,-,AnBx_Params,bob;,anbxj.AnBx_Params
3,2,charlie,bob,sent,@91161c7,java.security.SignedObject
3,2,bob,charlie,received,@91161c7,java.security.SignedObject
3,2,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
3,2,bob,-,eq_check,bob,java.lang.String.toString
3,2,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
3,2,bob,-,eq_check,,anbxj.AnBx_Params.toString
3,3,bob,alice,sent,X0,string
3,3,alice,bob,received,X0,string
3,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
3,4,alice,-,generateNumberText1,X9,anbxj.Crypto_ByteArray
3,4,alice,-,generateNumber,X10,anbxj.Crypto_ByteArray
3,4,alice,-,AnBx_Params,X10;bob;X9,anbxj.AnBx_Params
3,4,alice,-,AnBx_Params,@464bee09;@598067a5,anbxj.AnBx_Params
3,4,alice,bob,sent,@464bee09;@598067a5,java.security.SignedObject
3,4,bob,alice,received,@464bee09;@598067a5,java.security.SignedObject
3,4,bob,-,eq_check,alice,java.lang.String.toString
3,4,bob,-,AnBx_Params,X10;bob;X9,anbxj.AnBx_Params
3,4,bob,-,eq_check,bob,java.lang.String.toString
3,4,bob,-,AnBx_Params,X10;bob;X9,anbxj.AnBx_Params
3,4,bob,-,inv_check,X9,anbxj.Crypto_ByteArray.toString
3,5,bob,-,generateNumberText3,X11,anbxj.Crypto_ByteArray
3,5,bob,-,generateNumber,X12,anbxj.Crypto_ByteArray
3,5,bob,-,AnBx_Params,X12;alice;X11,anbxj.AnBx_Params
3,5,bob,-,AnBx_Params,@5f341870;@4cf777e8,anbxj.AnBx_Params
3,5,bob,alice,sent,@5f341870;@4cf777e8,java.security.SignedObject
3,5,alice,bob,received,@5f341870;@4cf777e8,java.security.SignedObject
3,5,alice,-,AnBx_Params,X12;alice;X11,anbxj.AnBx_Params
3,5,alice,-,eq_check,alice,java.lang.String.toString
3,5,alice,-,eq_check,bob,java.lang.String.toString
3,5,alice,-,AnBx_Params,X12;alice;X11,anbxj.AnBx_Params
3,5,alice,-,inv_check,X11,anbxj.Crypto_ByteArray.toString
4,0,charlie,-,AnBx_Params,alice;,anbxj.AnBx_Params
4,0,charlie,alice,sent,@6093dd95,java.security.SignedObject
4,0,alice,charlie,received,@6093dd95,java.security.SignedObject
4,0,alice,-,AnBx_Params,alice;,anbxj.AnBx_Params
4,0,alice,-,eq_check,alice,java.lang.String.toString
4,0,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
4,0,alice,-,eq_check,,anbxj.AnBx_Params.toString
4,1,alice,charlie,sent,X0,string
4,1,charlie,alice,received,X0,string
4,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
4,2,charlie,-,AnBx_Params,bob;,anbxj.AnBx_Params
4,2,charlie,bob,sent,@57baeedf,java.security.SignedObject
4,2,bob,charlie,received,@57baeedf,java.security.SignedObject
4,2,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
4,2,bob,-,eq_check,bob,java.lang.String.toString
4,2,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
4,2,bob,-,eq_check,,anbxj.AnBx_Params.toString
4,3,bob,alice,sent,X0,string
4,3,alice,bob,received,X0,string
4,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
4,4,alice,-,generateNumberText1,X13,anbxj.Crypto_ByteArray
4,4,alice,-,generateNumber,X14,anbxj.Crypto_ByteArray
4,4,alice,-,AnBx_Params,X14;bob;X13,anbxj.AnBx_Params
4,4,alice,-,AnBx_Params,@6500df86;@7085bdee,anbxj.AnBx_Params
4,4,alice,bob,sent,@6500df86;@7085bdee,java.security.SignedObject
4,4,bob,alice,received,@6500df86;@7085bdee,java.security.SignedObject
4,4,bob,-,eq_check,alice,java.lang.String.toString
4,4,bob,-,AnBx_Params,X14;bob;X13,anbxj.AnBx_Params
4,4,bob,-,eq_check,bob,java.lang.String.toString
4,4,bob,-,AnBx_Params,X14;bob;X13,anbxj.AnBx_Params
4,4,bob,-,inv_check,X13,anbxj.Crypto_ByteArray.toString
4,5,bob,-,generateNumberText3,X15,anbxj.Crypto_ByteArray
4,5,bob,-,generateNumber,X16,anbxj.Crypto_ByteArray
4,5,bob,-,AnBx_Params,X16;alice;X15,anbxj.AnBx_Params
4,5,bob,-,AnBx_Params,@6fd02e5;@27c20538,anbxj.AnBx_Params
4,5,bob,alice,sent,@6fd02e5;@27c20538,java.security.SignedObject
4,5,alice,bob,received,@6fd02e5;@27c20538,java.security.SignedObject
4,5,alice,-,AnBx_Params,X16;alice;X15,anbxj.AnBx_Params
4,5,alice,-,eq_check,alice,java.lang.String.toString
4,5,alice,-,eq_check,bob,java.lang.String.toString
4,5,alice,-,AnBx_Params,X16;alice;X15,anbxj.AnBx_Params
4,5,alice,-,inv_check,X15,anbxj.Crypto_ByteArray.toString
5,0,charlie,-,AnBx_Params,alice;,anbxj.AnBx_Params
5,0,charlie,alice,sent,@77cd7a0,java.security.SignedObject
5,0,alice,charlie,received,@77cd7a0,java.security.SignedObject
5,0,alice,-,AnBx_Params,alice;,anbxj.AnBx_Params
5,0,alice,-,eq_check,alice,java.lang.String.toString
5,0,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
5,0,alice,-,eq_check,,anbxj.AnBx_Params.toString
5,1,alice,charlie,sent,X0,string
5,1,charlie,alice,received,X0,string
5,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
5,2,charlie,-,AnBx_Params,bob;,anbxj.AnBx_Params
5,2,charlie,bob,sent,@464bee09,java.security.SignedObject
5,2,bob,charlie,received,@464bee09,java.security.SignedObject
5,2,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
5,2,bob,-,eq_check,bob,java.lang.String.toString
5,2,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
5,2,bob,-,eq_check,,anbxj.AnBx_Params.toString
5,3,bob,alice,sent,X0,string
5,3,alice,bob,received,X0,string
5,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
5,4,alice,-,generateNumberText1,X17,anbxj.Crypto_ByteArray
5,4,alice,-,generateNumber,X18,anbxj.Crypto_ByteArray
5,4,alice,-,AnBx_Params,X18;bob;X17,anbxj.AnBx_Params
5,4,alice,-,AnBx_Params,@1e397ed7;@6e1567f1,anbxj.AnBx_Params
5,4,alice,bob,sent,@1e397ed7;@6e1567f1,java.security.SignedObject
5,4,bob,alice,received,@1e397ed7;@6e1567f1,java.security.SignedObject
5,4,bob,-,eq_check,alice,java.lang.String.toString
5,4,bob,-,AnBx_Params,X18;bob;X17,anbxj.AnBx_Params
5,4,bob,-,eq_check,bob,java.lang.String.toString
5,4,bob,-,AnBx_Params,X18;bob;X17,anbxj.AnBx_Params
5,4,bob,-,inv_check,X17,anbxj.Crypto_ByteArray.toString
5,5,bob,-,generateNumberText3,X19,anbxj.Crypto_ByteArray
5,5,bob,-,generateNumber,X20,anbxj.Crypto_ByteArray
5,5,bob,-,AnBx_Params,X20;alice;X19,anbxj.AnBx_Params
5,5,bob,-,AnBx_Params,@13805618;@3159c4b8,anbxj.AnBx_Params
5,5,bob,alice,sent,@13805618;@3159c4b8,java.security.SignedObject
5,5,alice,bob,received,@13805618;@3159c4b8,java.security.SignedObject
5,5,alice,-,AnBx_Params,X20;alice;X19,anbxj.AnBx_Params
5,5,alice,-,eq_check,alice,java.lang.String.toString
5,5,alice,-,eq_check,bob,java.lang.String.toString
5,5,alice,-,AnBx_Params,X20;alice;X19,anbxj.AnBx_Params
5,5,alice,-,inv_check,X19,anbxj.Crypto_ByteArray.toString
6,0,charlie,-,AnBx_Params,alice;,anbxj.AnBx_Params
6,0,charlie,alice,sent,@598067a5,java.security.SignedObject
6,0,alice,charlie,received,@598067a5,java.security.SignedObject
6,0,alice,-,AnBx_Params,alice;,anbxj.AnBx_Params
6,0,alice,-,eq_check,alice,java.lang.String.toString
6,0,alice,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
6,0,alice,-,eq_check,,anbxj.AnBx_Params.toString
6,1,alice,charlie,sent,X0,string
6,1,charlie,alice,received,X0,string
6,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
6,2,charlie,-,AnBx_Params,bob;,anbxj.AnBx_Params
6,2,charlie,bob,sent,@589838eb,java.security.SignedObject
6,2,bob,charlie,received,@589838eb,java.security.SignedObject
6,2,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
6,2,bob,-,eq_check,bob,java.lang.String.toString
6,2,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
6,2,bob,-,eq_check,,anbxj.AnBx_Params.toString
6,3,bob,alice,sent,X0,string
6,3,alice,bob,received,X0,string
6,3,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
6,4,alice,-,generateNumberText1,X21,anbxj.Crypto_ByteArray
6,4,alice,-,generateNumber,X22,anbxj.Crypto_ByteArray
6,4,alice,-,AnBx_Params,X22;bob;X21,anbxj.AnBx_Params
6,4,alice,-,AnBx_Params,@4b952a2d;@2d928643,anbxj.AnBx_Params
6,4,alice,bob,sent,@4b952a2d;@2d928643,java.security.SignedObject
6,4,bob,alice,received,@4b952a2d;@2d928643,java.security.SignedObject
6,4,bob,-,eq_check,alice,java.lang.String.toString
6,4,bob,-,AnBx_Params,X22;bob;X21,anbxj.AnBx_Params
6,4,bob,-,eq_check,bob,java.lang.String.toString
6,4,bob,-,AnBx_Params,X22;bob;X21,anbxj.AnBx_Params
