#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,bob,-,generateNumberText1,X0,anbxj.Crypto_ByteArray
1,0,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,bob,-,AnBx_Params,X1;alice;X0,anbxj.AnBx_Params
1,0,bob,alice,sent,@7cf10a6f,javax.crypto.SealedObject
1,0,alice,bob,received,@7cf10a6f,javax.crypto.SealedObject
1,0,alice,-,AnBx_Params,X1;alice;X0,anbxj.AnBx_Params
1,0,alice,-,eq_check,alice,java.lang.String.toString
1,0,alice,-,AnBx_Params,X1;alice;X0,anbxj.AnBx_Params
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,-,generateNumberText3,X2,anbxj.Crypto_ByteArray
1,1,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,X3;bob;X2,anbxj.AnBx_Params
1,1,alice,bob,sent,@39ba5a14,javax.crypto.SealedObject
1,1,bob,alice,received,@39ba5a14,javax.crypto.SealedObject
1,1,bob,-,AnBx_Params,X3;bob;X2,anbxj.AnBx_Params
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,AnBx_Params,X3;bob;X2,anbxj.AnBx_Params
1,1,bob,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
2,0,bob,-,generateNumberText1,X4,anbxj.Crypto_ByteArray
2,0,bob,-,generateNumber,X5,anbxj.Crypto_ByteArray
2,0,bob,-,AnBx_Params,X5;alice;X4,anbxj.AnBx_Params
2,0,bob,alice,sent,@6442b0a6,javax.crypto.SealedObject
2,0,alice,bob,received,@6442b0a6,javax.crypto.SealedObject
2,0,alice,-,AnBx_Params,X5;alice;X4,anbxj.AnBx_Params
2,0,alice,-,eq_check,alice,java.lang.String.toString
2,0,alice,-,AnBx_Params,X5;alice;X4,anbxj.AnBx_Params
2,0,alice,-,inv_check,X4,anbxj.Crypto_ByteArray.toString
2,1,alice,-,generateNumberText3,X6,anbxj.Crypto_ByteArray
2,1,alice,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,1,alice,-,AnBx_Params,X7;bob;X6,anbxj.AnBx_Params
2,1,alice,bob,sent,@2d6e8792,javax.crypto.SealedObject
2,1,bob,alice,received,@2d6e8792,javax.crypto.SealedObject
2,1,bob,-,AnBx_Params,X7;bob;X6,anbxj.AnBx_Params
2,1,bob,-,eq_check,bob,java.lang.String.toString
2,1,bob,-,AnBx_Params,X7;bob;X6,anbxj.AnBx_Params
2,1,bob,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
3,0,bob,-,generateNumberText1,X8,anbxj.Crypto_ByteArray
3,0,bob,-,generateNumber,X9,anbxj.Crypto_ByteArray
3,0,bob,-,AnBx_Params,X9;alice;X8,anbxj.AnBx_Params
3,0,bob,alice,sent,@6cd8737,javax.crypto.SealedObject
3,0,alice,bob,received,@6cd8737,javax.crypto.SealedObject
3,0,alice,-,AnBx_Params,X9;alice;X8,anbxj.AnBx_Params
3,0,alice,-,eq_check,alice,java.lang.String.toString
