#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,david,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,david,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,0,david,-,AnBx_Params,david;bob;X0,anbxj.AnBx_Params
1,0,david,-,AnBx_Params,X1;X0;X2,anbxj.AnBx_Params
1,0,david,-,AnBx_Params,david;bob;X0;@1810399e,anbxj.AnBx_Params
1,0,david,alice,sent,david;bob;X0;@1810399e,java.security.SignedObject
1,0,alice,david,received,david;bob;X0;@1810399e,java.security.SignedObject
1,0,alice,-,eq_check,david,java.lang.String.toString
1,0,alice,-,eq_check,bob,java.lang.String.toString
1,1,alice,-,generateNumber,X3,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,alice;david;bob;@17583;X3,anbxj.AnBx_Params
1,1,alice,-,AnBx_Params,bob;@17583;X3;X0,anbxj.AnBx_Params
1,1,alice,-,AnBx_Params,X4;@4c70fda8,anbxj.AnBx_Params
1,1,alice,-,AnBx_Params,david;@4678c730;@55f3ddb1;@57baeedf;@7cd62f43,anbxj.AnBx_Params
1,1,alice,david,sent,david;@4678c730;@55f3ddb1;@57baeedf;@7cd62f43,javax.crypto.SealedObject
1,1,david,alice,received,david;@4678c730;@55f3ddb1;@57baeedf;@7cd62f43,javax.crypto.SealedObject
1,1,david,-,eq_check,david,java.lang.String.toString
1,1,david,-,AnBx_Params,X4;@68c4039c,anbxj.AnBx_Params
1,1,david,-,eq_check,bob,java.lang.String.toString
1,1,david,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,1,david,-,AnBx_Params,X4;@4667ae56,anbxj.AnBx_Params
1,1,david,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
1,2,david,-,generateNumber,X5,anbxj.Crypto_ByteArray
1,2,david,-,AnBx_Params,david;X3,anbxj.AnBx_Params
1,2,david,-,AnBx_Params,charlie;X5;@4520ebad;@239963d8,anbxj.AnBx_Params
1,2,david,bob,sent,charlie;X5;@4520ebad;@239963d8,javax.crypto.SealedObject
1,2,bob,david,received,charlie;X5;@4520ebad;@239963d8,javax.crypto.SealedObject
1,2,bob,-,eq_check,alice,java.lang.String.toString
1,2,bob,-,eq_check,bob,java.lang.String.toString
1,2,bob,-,eq_check,charlie,java.lang.String.toString
1,2,bob,-,eq_check,david,java.lang.String.toString
1,2,bob,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
1,3,bob,-,generateNumber,X6,anbxj.Crypto_ByteArray
1,3,bob,-,AnBx_Params,david;charlie;@16aec;X6,anbxj.AnBx_Params
1,3,bob,-,AnBx_Params,charlie;@16aec;X6;X5,anbxj.AnBx_Params
1,3,bob,-,AnBx_Params,david;@17c68925;@71be98f5,anbxj.AnBx_Params
1,3,bob,david,sent,david;@17c68925;@71be98f5,javax.crypto.SealedObject
1,3,david,bob,received,david;@17c68925;@71be98f5,javax.crypto.SealedObject
1,3,david,-,eq_check,david,java.lang.String.toString
1,3,david,-,eq_check,charlie,java.lang.String.toString
1,3,david,-,eq_check,X5,anbxj.Crypto_ByteArray.toString
1,4,david,-,AnBx_Params,david;X7,anbxj.AnBx_Params
1,4,david,-,AnBx_Params,@59ec2012;@5bcab519,anbxj.AnBx_Params
1,4,david,charlie,sent,@59ec2012;@5bcab519,javax.crypto.SealedObject
1,4,charlie,david,received,@59ec2012;@5bcab519,javax.crypto.SealedObject
1,4,charlie,-,eq_check,charlie,java.lang.String.toString
1,4,charlie,-,eq_check,david,java.lang.String.toString
1,4,charlie,-,eq_check,X7,anbxj.Crypto_ByteArray.toString
1,5,charlie,-,generateNumberPayload,X8,anbxj.Crypto_ByteArray
1,5,charlie,-,AnBx_Params,X4;X8,anbxj.AnBx_Params
1,5,charlie,-,AnBx_Params,@7a79be86;@340f438e,anbxj.AnBx_Params
1,5,charlie,david,sent,@7a79be86;@340f438e,javax.crypto.SealedObject
1,5,david,charlie,received,@7a79be86;@340f438e,javax.crypto.SealedObject
1,5,david,-,AnBx_Params,X4;X8,anbxj.AnBx_Params
1,5,david,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
1,5,david,-,eq_check,X7,anbxj.Crypto_ByteArray.toString
