#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,charlie;alice;X0,anbxj.AnBx_Params
1,0,charlie,alice,sent,charlie;alice;X0,string
1,0,alice,charlie,received,charlie;alice;X0,string
1,0,alice,-,eq_check,alice,java.lang.String.toString
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,1,alice,-,AnBx_Params,charlie;bob;alice;X1;X0,anbxj.AnBx_Params
1,1,alice,charlie,sent,charlie;bob;alice;X1;X0,string
1,1,charlie,alice,received,charlie;bob;alice;X1;X0,string
1,1,charlie,-,eq_check,charlie,java.lang.String.toString
1,1,charlie,-,eq_check,alice,java.lang.String.toString
1,1,charlie,-,eq_check,bob,java.lang.String.toString
1,1,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,2,charlie,-,AnBx_Params,charlie;bob;alice;X1;X0,anbxj.AnBx_Params
1,2,charlie,bob,sent,charlie;bob;alice;X1;X0,string
1,2,bob,charlie,received,charlie;bob;alice;X1;X0,string
1,2,bob,-,eq_check,charlie,java.lang.String.toString
1,2,bob,-,eq_check,bob,java.lang.String.toString
1,3,bob,-,AnBx_Params,charlie;bob,anbxj.AnBx_Params
1,3,bob,-,AnBx_Params,@5d20e46;X0,anbxj.AnBx_Params
1,3,bob,charlie,sent,@5d20e46;X0,java.security.SignedObject
1,3,charlie,bob,received,@5d20e46;X0,java.security.SignedObject
1,3,charlie,-,inv_check,X1,anbxj.Crypto_ByteArray.toString
1,3,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,3,charlie,-,AnBx_Params,charlie;bob,anbxj.AnBx_Params
1,3,charlie,-,eq_check,charlie,java.lang.String.toString
1,3,charlie,-,eq_check,bob,java.lang.String.toString
1,3,charlie,-,eq_check,charlie;bob,anbxj.AnBx_Params.toString
1,4,charlie,-,AnBx_Params,@45f45fa1;X0,anbxj.AnBx_Params
1,4,charlie,alice,sent,@45f45fa1;X0,java.security.SignedObject
1,4,alice,charlie,received,@45f45fa1;X0,java.security.SignedObject
1,4,alice,-,eq_check,bob,java.lang.String.toString
1,4,alice,-,eq_check,charlie,java.lang.String.toString
1,4,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,5,alice,-,generateNumberData,X2,anbxj.Crypto_ByteArray
1,5,alice,charlie,sent,X2,string
1,5,charlie,alice,received,X2,string
1,5,charlie,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
2,0,charlie,-,generateNumber,X3,anbxj.Crypto_ByteArray
2,0,charlie,-,AnBx_Params,charlie;alice;X3,anbxj.AnBx_Params
2,0,charlie,alice,sent,charlie;alice;X3,string
2,0,alice,charlie,received,charlie;alice;X3,string
2,0,alice,-,eq_check,alice,java.lang.String.toString
2,0,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
2,1,alice,-,generateNumber,X4,anbxj.Crypto_ByteArray
2,1,alice,-,AnBx_Params,charlie;bob;alice;X4;X3,anbxj.AnBx_Params
2,1,alice,charlie,sent,charlie;bob;alice;X4;X3,string
2,1,charlie,alice,received,charlie;bob;alice;X4;X3,string
2,1,charlie,-,eq_check,charlie,java.lang.String.toString
2,1,charlie,-,eq_check,alice,java.lang.String.toString
2,1,charlie,-,eq_check,bob,java.lang.String.toString
2,1,charlie,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,2,charlie,-,AnBx_Params,charlie;bob;alice;X4;X3,anbxj.AnBx_Params
2,2,charlie,bob,sent,charlie;bob;alice;X4;X3,string
2,2,bob,charlie,received,charlie;bob;alice;X4;X3,string
2,2,bob,-,eq_check,charlie,java.lang.String.toString
2,2,bob,-,eq_check,bob,java.lang.String.toString
2,3,bob,-,AnBx_Params,charlie;bob,anbxj.AnBx_Params
2,3,bob,-,AnBx_Params,@4d49af10;X3,anbxj.AnBx_Params
2,3,bob,charlie,sent,@4d49af10;X3,java.security.SignedObject
2,3,charlie,bob,received,@4d49af10;X3,java.security.SignedObject
2,3,charlie,-,inv_check,X4,anbxj.Crypto_ByteArray.toString
2,3,charlie,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,3,charlie,-,AnBx_Params,charlie;bob,anbxj.AnBx_Params
2,3,charlie,-,eq_check,charlie,java.lang.String.toString
2,3,charlie,-,eq_check,bob,java.lang.String.toString
2,3,charlie,-,eq_check,charlie;bob,anbxj.AnBx_Params.toString
2,4,charlie,-,AnBx_Params,@48524010;X3,anbxj.AnBx_Params
2,4,charlie,alice,sent,@48524010;X3,java.security.SignedObject
2,4,alice,charlie,received,@48524010;X3,java.security.SignedObject
2,4,alice,-,eq_check,bob,java.lang.String.toString
2,4,alice,-,eq_check,charlie,java.lang.String.toString
2,4,alice,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,5,alice,-,generateNumberData,X5,anbxj.Crypto_ByteArray
2,5,alice,charlie,sent,X5,string
2,5,charlie,alice,received,X5,string
