#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,generateNumberMsg,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,bob;X0;charlie,anbxj.AnBx_Params
1,0,charlie,alice,sent,@204f30ec;@4667ae56,javax.crypto.SealedObject
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,charlie,received,@204f30ec;@4667ae56,javax.crypto.SealedObject
1,0,alice,-,inv_check,@1efbd816;@6a2bcfcb,anbxj.Crypto_SealedPair.toString
1,1,alice,bob,sent,@1efbd816;@6a2bcfcb,javax.crypto.SealedObject
1,1,bob,alice,received,@1efbd816;@6a2bcfcb,javax.crypto.SealedObject
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,eq_check,charlie,java.lang.String.toString
1,2,bob,alice,sent,X0,string
1,2,alice,bob,received,X0,string
1,2,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,3,alice,charlie,sent,X0,string
1,3,charlie,alice,received,X0,string
1,3,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,charlie,-,AnBx_Params,charlie;X0;bob,anbxj.AnBx_Params
1,4,charlie,alice,sent,@1ed4004b;@56ef9176,javax.crypto.SealedObject
1,4,alice,charlie,received,@1ed4004b;@56ef9176,javax.crypto.SealedObject
1,4,alice,-,inv_check,@d2cc05a;@4f933fd1,anbxj.Crypto_SealedPair.toString
1,5,alice,bob,sent,@d2cc05a;@4f933fd1,javax.crypto.SealedObject
1,5,bob,alice,received,@d2cc05a;@4f933fd1,javax.crypto.SealedObject
1,5,bob,-,eq_check,bob,java.lang.String.toString
1,5,bob,-,eq_check,charlie,java.lang.String.toString
1,5,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
