#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,david,-,eq_check,david!,java.lang.String.toString
1,0,david,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,david,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
1,0,david,-,AnBx_Params,X0;X2;@fffe8cba,anbxj.AnBx_Params
1,0,david,alice,sent,X0;X2;@fffe8cba,string
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,david,received,X0;X2;@fffe8cba,string
1,0,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,alice,-,AnBx_Params,X0;X2;@fffe8cba,anbxj.AnBx_Params
1,1,alice,bob,sent,X0;X2;@fffe8cba,string
1,1,bob,alice,received,X0;X2;@fffe8cba,string
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,2,bob,alice,sent,X0,string
1,2,alice,bob,received,X0,string
1,2,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,3,alice,charlie,sent,X0,string
1,3,charlie,alice,received,X0,string
1,3,charlie,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,4,charlie,-,AnBx_Params,X0;X1,anbxj.AnBx_Params
1,4,charlie,alice,sent,X2,string
1,4,alice,charlie,received,X2,string
1,4,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,4,alice,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,5,alice,bob,sent,X2,string
1,5,bob,alice,received,X2,string
1,5,bob,-,eq_check,X2,anbxj.Crypto_ByteArray.toString
1,6,bob,-,generateNumberMsg,X3,anbxj.Crypto_ByteArray
1,6,bob,alice,sent,@3f3afe78,javax.crypto.SealedObject
1,6,alice,bob,received,@3f3afe78,javax.crypto.SealedObject
1,6,alice,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
1,6,alice,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
1,7,alice,charlie,sent,@2812cbfa,javax.crypto.SealedObject
1,7,charlie,alice,received,@2812cbfa,javax.crypto.SealedObject
1,7,charlie,-,inv_check,X3,anbxj.Crypto_ByteArray.toString
