#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,david,-,AnBx_Params,bob;,anbxj.AnBx_Params
1,0,david,alice,sent,@4cc0edeb,java.security.SignedObject
1,0,alice,david,received,@4cc0edeb,java.security.SignedObject
1,0,alice,-,inv_check,@2cb4c3ab,java.security.SignedObject.toString
1,1,alice,bob,sent,@2cb4c3ab,java.security.SignedObject
1,1,bob,alice,received,@2cb4c3ab,java.security.SignedObject
1,1,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,1,bob,-,eq_check,,anbxj.AnBx_Params.toString
1,2,bob,alice,sent,X0,string
1,2,alice,bob,received,X0,string
1,2,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,3,alice,bob,sent,X0,string
1,3,bob,alice,received,X0,string
1,3,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,4,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,4,bob,-,AnBx_Params,X2;charlie;X1,anbxj.AnBx_Params
1,4,bob,-,AnBx_Params,@6537cf78;@59fa1d9b,anbxj.AnBx_Params
1,4,bob,alice,sent,@6537cf78;@59fa1d9b,java.security.SignedObject
1,4,alice,bob,received,@6537cf78;@59fa1d9b,java.security.SignedObject
1,5,alice,david,received,@6537cf78;@59fa1d9b,java.security.SignedObject
1,5,alice,-,inv_check,@548b7f67,java.security.SignedObject.toString
1,5,alice,-,inv_check,@6d8a00e3,java.security.SignedObject.toString
1,10,bob,alice,received,@6537cf78;@59fa1d9b,java.security.SignedObject
1,10,bob,-,AnBx_Params,X3;bob;X4,anbxj.AnBx_Params
1,10,bob,-,eq_check,bob,java.lang.String.toString
1,10,bob,-,eq_check,charlie,java.lang.String.toString
1,10,bob,-,AnBx_Params,X3;bob;X4,anbxj.AnBx_Params
1,10,bob,-,inv_check,X4,anbxj.Crypto_ByteArray.toString
2,5,david,-,AnBx_Params,charlie;,anbxj.AnBx_Params
2,5,david,alice,sent,@4b9e13df,java.security.SignedObject
2,6,alice,charlie,sent,@548b7f67,java.security.SignedObject
2,6,charlie,alice,received,@548b7f67,java.security.SignedObject
2,6,charlie,-,AnBx_Params,charlie;,anbxj.AnBx_Params
2,6,charlie,-,eq_check,charlie,java.lang.String.toString
2,6,charlie,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
2,6,charlie,-,eq_check,,anbxj.AnBx_Params.toString
2,7,charlie,alice,sent,X0,string
2,7,alice,charlie,received,X0,string
2,7,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
2,8,alice,charlie,sent,X0,string
2,8,charlie,alice,received,X0,string
2,8,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
2,9,charlie,-,generateNumberText3,X4,anbxj.Crypto_ByteArray
2,9,charlie,-,generateNumber,X3,anbxj.Crypto_ByteArray
2,9,charlie,-,AnBx_Params,X3;bob;X4,anbxj.AnBx_Params
2,9,charlie,-,AnBx_Params,@47f6473;@2b98378d,anbxj.AnBx_Params
2,9,charlie,alice,sent,@47f6473;@2b98378d,java.security.SignedObject
2,9,alice,charlie,received,@47f6473;@2b98378d,java.security.SignedObject
2,9,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
2,10,alice,-,AnBx_Params,@548b7f67;@68be2bc2,anbxj.AnBx_Params
2,10,alice,bob,sent,@548b7f67;@68be2bc2,java.security.SignedObject
3,0,david,-,AnBx_Params,bob;,anbxj.AnBx_Params
3,0,david,alice,sent,@14acaea5,java.security.SignedObject
3,0,alice,david,received,@14acaea5,java.security.SignedObject
3,0,alice,-,inv_check,@4cc0edeb,java.security.SignedObject.toString
3,1,alice,bob,sent,@4cc0edeb,java.security.SignedObject
3,1,bob,alice,received,@4cc0edeb,java.security.SignedObject
3,1,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
3,1,bob,-,eq_check,bob,java.lang.String.toString
3,1,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
3,1,bob,-,eq_check,,anbxj.AnBx_Params.toString
3,2,bob,alice,sent,X0,string
3,2,alice,bob,received,X0,string
3,2,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
3,3,alice,bob,sent,X0,string
3,3,bob,alice,received,X0,string
3,3,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
3,4,bob,-,generateNumber,X5,anbxj.Crypto_ByteArray
3,4,bob,-,generateNumber,X6,anbxj.Crypto_ByteArray
3,4,bob,-,AnBx_Params,X6;charlie;X5,anbxj.AnBx_Params
3,4,bob,-,AnBx_Params,@91161c7;@6093dd95,anbxj.AnBx_Params
3,4,bob,alice,sent,@91161c7;@6093dd95,java.security.SignedObject
3,4,alice,bob,received,@91161c7;@6093dd95,java.security.SignedObject
3,5,alice,david,received,@91161c7;@6093dd95,java.security.SignedObject
3,5,alice,-,inv_check,@4678c730,java.security.SignedObject.toString
3,5,alice,-,inv_check,@724af044,java.security.SignedObject.toString
3,10,bob,alice,received,@91161c7;@6093dd95,java.security.SignedObject
3,10,bob,-,AnBx_Params,X7;bob;X8,anbxj.AnBx_Params
3,10,bob,-,eq_check,bob,java.lang.String.toString
3,10,bob,-,eq_check,charlie,java.lang.String.toString
3,10,bob,-,AnBx_Params,X7;bob;X8,anbxj.AnBx_Params
3,10,bob,-,inv_check,X8,anbxj.Crypto_ByteArray.toString
4,5,david,-,AnBx_Params,charlie;,anbxj.AnBx_Params
4,5,david,alice,sent,@5e5792a0,java.security.SignedObject
4,6,alice,charlie,sent,@4678c730,java.security.SignedObject
4,6,charlie,alice,received,@4678c730,java.security.SignedObject
4,6,charlie,-,AnBx_Params,charlie;,anbxj.AnBx_Params
4,6,charlie,-,eq_check,charlie,java.lang.String.toString
4,6,charlie,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
4,6,charlie,-,eq_check,,anbxj.AnBx_Params.toString
4,7,charlie,alice,sent,X0,string
4,7,alice,charlie,received,X0,string
4,7,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
4,8,alice,charlie,sent,X0,string
4,8,charlie,alice,received,X0,string
4,8,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
4,9,charlie,-,generateNumberText3,X8,anbxj.Crypto_ByteArray
4,9,charlie,-,generateNumber,X7,anbxj.Crypto_ByteArray
4,9,charlie,-,AnBx_Params,X7;bob;X8,anbxj.AnBx_Params
4,9,charlie,-,AnBx_Params,@28d25987;@3532ec19,anbxj.AnBx_Params
4,9,charlie,alice,sent,@28d25987;@3532ec19,java.security.SignedObject
4,9,alice,charlie,received,@28d25987;@3532ec19,java.security.SignedObject
4,9,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
4,10,alice,-,AnBx_Params,@4678c730;@cc285f4,anbxj.AnBx_Params
4,10,alice,bob,sent,@4678c730;@cc285f4,java.security.SignedObject
5,0,david,-,AnBx_Params,bob;,anbxj.AnBx_Params
5,0,david,alice,sent,@6f7fd0e6,java.security.SignedObject
5,0,alice,david,received,@6f7fd0e6,java.security.SignedObject
5,0,alice,-,inv_check,@4b9e13df,java.security.SignedObject.toString
5,1,alice,bob,sent,@4b9e13df,java.security.SignedObject
5,1,bob,alice,received,@4b9e13df,java.security.SignedObject
5,1,bob,-,AnBx_Params,bob;,anbxj.AnBx_Params
5,1,bob,-,eq_check,bob,java.lang.String.toString
5,1,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
5,1,bob,-,eq_check,,anbxj.AnBx_Params.toString
5,2,bob,alice,sent,X0,string
5,2,alice,bob,received,X0,string
5,2,alice,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
5,3,alice,bob,sent,X0,string
5,3,bob,alice,received,X0,string
5,3,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
5,4,bob,-,generateNumber,X9,anbxj.Crypto_ByteArray
5,4,bob,-,generateNumber,X10,anbxj.Crypto_ByteArray
5,4,bob,-,AnBx_Params,X10;charlie;X9,anbxj.AnBx_Params
5,4,bob,-,AnBx_Params,@53b32d7;@e25b2fe,anbxj.AnBx_Params
5,4,bob,alice,sent,@53b32d7;@e25b2fe,java.security.SignedObject
5,4,alice,bob,received,@53b32d7;@e25b2fe,java.security.SignedObject
5,5,alice,david,received,@53b32d7;@e25b2fe,java.security.SignedObject
5,5,alice,-,inv_check,@14acaea5,java.security.SignedObject.toString
5,5,alice,-,inv_check,@26be92ad,java.security.SignedObject.toString
5,10,bob,alice,received,@53b32d7;@e25b2fe,java.security.SignedObject
5,10,bob,-,AnBx_Params,X11;bob;X12,anbxj.AnBx_Params
5,10,bob,-,eq_check,bob,java.lang.String.toString
5,10,bob,-,eq_check,charlie,java.lang.String.toString
5,10,bob,-,AnBx_Params,X11;bob;X12,anbxj.AnBx_Params
5,10,bob,-,inv_check,X12,anbxj.Crypto_ByteArray.toString
6,5,david,-,AnBx_Params,charlie;,anbxj.AnBx_Params
6,5,david,alice,sent,@3bfdc050,java.security.SignedObject
6,6,alice,charlie,sent,@14acaea5,java.security.SignedObject
6,6,charlie,alice,received,@14acaea5,java.security.SignedObject
6,6,charlie,-,AnBx_Params,charlie;,anbxj.AnBx_Params
6,6,charlie,-,eq_check,charlie,java.lang.String.toString
6,6,charlie,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
6,6,charlie,-,eq_check,,anbxj.AnBx_Params.toString
6,7,charlie,alice,sent,X0,string
6,7,alice,charlie,received,X0,string
6,7,alice,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
6,8,alice,charlie,sent,X0,string
6,8,charlie,alice,received,X0,string
6,8,charlie,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
6,9,charlie,-,generateNumberText3,X12,anbxj.Crypto_ByteArray
