#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,charlie,-,eq_check,charlie!,java.lang.String.toString
1,0,charlie,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,charlie,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,0,charlie,-,AnBx_Params,charlie;@b684286,anbxj.AnBx_Params
1,0,charlie,alice,sent,charlie;@b684286,javax.crypto.SealedObject
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,-,eq_check,alice!,java.lang.String.toString
1,0,alice,charlie,received,charlie;@b684286,javax.crypto.SealedObject
1,0,alice,-,eq_check,charlie,java.lang.String.toString
1,1,alice,-,AnBx_Params,charlie;@75a1cd57,anbxj.AnBx_Params
1,1,alice,bob,sent,charlie;@75a1cd57,javax.crypto.SealedObject
1,1,bob,alice,received,charlie;@75a1cd57,javax.crypto.SealedObject
1,1,bob,-,AnBx_Params,X1;X0,anbxj.AnBx_Params
1,1,bob,-,inv_check,X0,anbxj.Crypto_ByteArray.toString
1,1,bob,-,eq_check,charlie,java.lang.String.toString
1,2,bob,-,generateNumber,X2,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,X3;X2,anbxj.AnBx_Params
1,2,bob,alice,sent,@511baa65,javax.crypto.SealedObject
1,2,alice,bob,received,@511baa65,javax.crypto.SealedObject
1,2,alice,-,inv_check,@27ddd392,javax.crypto.SealedObject.toString
1,2,alice,-,inv_check,@75a1cd57,javax.crypto.SealedObject.toString
1,3,alice,charlie,sent,@27ddd392,javax.crypto.SealedObject
1,3,charlie,alice,received,@27ddd392,javax.crypto.SealedObject
1,3,charlie,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
1,4,charlie,alice,sent,@60f82f98,javax.crypto.SealedObject
1,4,alice,charlie,received,@60f82f98,javax.crypto.SealedObject
1,4,alice,-,inv_check,@2a098129,javax.crypto.SealedObject.toString
1,5,alice,bob,sent,@2a098129,javax.crypto.SealedObject
1,5,bob,alice,received,@2a098129,javax.crypto.SealedObject
1,5,bob,-,eq_check,X4,anbxj.Crypto_ByteArray.toString
1,6,bob,-,generateNumberNB2,X5,anbxj.Crypto_ByteArray
1,6,bob,alice,sent,@2d6e8792,javax.crypto.SealedObject
1,6,alice,bob,received,@2d6e8792,javax.crypto.SealedObject
1,6,alice,-,inv_check,@3ada9e37,javax.crypto.SealedObject.toString
1,7,alice,charlie,sent,@3ada9e37,javax.crypto.SealedObject
1,7,charlie,alice,received,@3ada9e37,javax.crypto.SealedObject
1,7,charlie,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
1,7,charlie,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
2,0,charlie,-,eq_check,charlie!,java.lang.String.toString
2,0,charlie,-,generateNumber,X6,anbxj.Crypto_ByteArray
2,0,charlie,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,0,charlie,-,AnBx_Params,charlie;@668bc3d5,anbxj.AnBx_Params
2,0,charlie,alice,sent,charlie;@668bc3d5,javax.crypto.SealedObject
2,0,alice,-,eq_check,alice!,java.lang.String.toString
2,0,alice,-,eq_check,alice!,java.lang.String.toString
2,0,alice,charlie,received,charlie;@668bc3d5,javax.crypto.SealedObject
2,0,alice,-,eq_check,charlie,java.lang.String.toString
2,1,alice,-,AnBx_Params,charlie;@63e31ee,anbxj.AnBx_Params
2,1,alice,bob,sent,charlie;@63e31ee,javax.crypto.SealedObject
2,1,bob,alice,received,charlie;@63e31ee,javax.crypto.SealedObject
2,1,bob,-,AnBx_Params,X1;X6,anbxj.AnBx_Params
2,1,bob,-,inv_check,X6,anbxj.Crypto_ByteArray.toString
2,1,bob,-,eq_check,charlie,java.lang.String.toString
2,2,bob,-,generateNumber,X7,anbxj.Crypto_ByteArray
2,2,bob,-,AnBx_Params,X8;X7,anbxj.AnBx_Params
2,2,bob,alice,sent,@35f983a6,javax.crypto.SealedObject
2,2,alice,bob,received,@35f983a6,javax.crypto.SealedObject
2,2,alice,-,inv_check,@6842775d,javax.crypto.SealedObject.toString
2,2,alice,-,inv_check,@63e31ee,javax.crypto.SealedObject.toString
2,3,alice,charlie,sent,@6842775d,javax.crypto.SealedObject
2,3,charlie,alice,received,@6842775d,javax.crypto.SealedObject
2,3,charlie,-,eq_check,X8,anbxj.Crypto_ByteArray.toString
2,4,charlie,alice,sent,@2ed94a8b,javax.crypto.SealedObject
2,4,alice,charlie,received,@2ed94a8b,javax.crypto.SealedObject
2,4,alice,-,inv_check,@1761e840,javax.crypto.SealedObject.toString
2,5,alice,bob,sent,@1761e840,javax.crypto.SealedObject
2,5,bob,alice,received,@1761e840,javax.crypto.SealedObject
2,5,bob,-,eq_check,X9,anbxj.Crypto_ByteArray.toString
2,6,bob,-,generateNumberNB2,X10,anbxj.Crypto_ByteArray
2,6,bob,alice,sent,@13969fbe,javax.crypto.SealedObject
2,6,alice,bob,received,@13969fbe,javax.crypto.SealedObject
2,6,alice,-,inv_check,@3f102e87,javax.crypto.SealedObject.toString
2,7,alice,charlie,sent,@3ada9e37,javax.crypto.SealedObject
2,7,charlie,alice,received,@3ada9e37,javax.crypto.SealedObject
2,7,charlie,-,inv_check,X7,anbxj.Crypto_ByteArray.toString
2,7,charlie,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
3,0,charlie,-,eq_check,charlie!,java.lang.String.toString
3,0,charlie,-,generateNumber,X11,anbxj.Crypto_ByteArray
3,0,charlie,-,AnBx_Params,X1;X11,anbxj.AnBx_Params
3,0,charlie,-,AnBx_Params,charlie;@17550481,anbxj.AnBx_Params
3,0,charlie,alice,sent,charlie;@17550481,javax.crypto.SealedObject
3,0,alice,-,eq_check,alice!,java.lang.String.toString
3,0,alice,-,eq_check,alice!,java.lang.String.toString
3,0,alice,charlie,received,charlie;@17550481,javax.crypto.SealedObject
3,0,alice,-,eq_check,charlie,java.lang.String.toString
3,1,alice,-,AnBx_Params,charlie;@27abe2cd,anbxj.AnBx_Params
3,1,alice,bob,sent,charlie;@27abe2cd,javax.crypto.SealedObject
3,1,bob,alice,received,charlie;@27abe2cd,javax.crypto.SealedObject
3,1,bob,-,AnBx_Params,X1;X11,anbxj.AnBx_Params
3,1,bob,-,inv_check,X11,anbxj.Crypto_ByteArray.toString
3,1,bob,-,eq_check,charlie,java.lang.String.toString
3,2,bob,-,generateNumber,X12,anbxj.Crypto_ByteArray
3,2,bob,-,AnBx_Params,X13;X12,anbxj.AnBx_Params
3,2,bob,alice,sent,@7a5d012c,javax.crypto.SealedObject
3,2,alice,bob,received,@7a5d012c,javax.crypto.SealedObject
3,2,alice,-,inv_check,@2280cdac,javax.crypto.SealedObject.toString
3,2,alice,-,inv_check,@27abe2cd,javax.crypto.SealedObject.toString
3,3,alice,charlie,sent,@2280cdac,javax.crypto.SealedObject
3,3,charlie,alice,received,@2280cdac,javax.crypto.SealedObject
3,3,charlie,-,eq_check,X13,anbxj.Crypto_ByteArray.toString
3,4,charlie,alice,sent,@2ef9b8bc,javax.crypto.SealedObject
3,4,alice,charlie,received,@2ef9b8bc,javax.crypto.SealedObject
3,4,alice,-,inv_check,@44e81672,javax.crypto.SealedObject.toString
3,5,alice,bob,sent,@44e81672,javax.crypto.SealedObject
3,5,bob,alice,received,@44e81672,javax.crypto.SealedObject
3,5,bob,-,eq_check,X14,anbxj.Crypto_ByteArray.toString
3,6,bob,-,generateNumberNB2,X15,anbxj.Crypto_ByteArray
3,6,bob,alice,sent,@2ed94a8b,javax.crypto.SealedObject
3,6,alice,bob,received,@2ed94a8b,javax.crypto.SealedObject
3,6,alice,-,inv_check,@65e579dc,javax.crypto.SealedObject.toString
3,7,alice,charlie,sent,@3ada9e37,javax.crypto.SealedObject
3,7,charlie,alice,received,@3ada9e37,javax.crypto.SealedObject
3,7,charlie,-,inv_check,X12,anbxj.Crypto_ByteArray.toString
3,7,charlie,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
4,0,charlie,-,eq_check,charlie!,java.lang.String.toString
4,0,charlie,-,generateNumber,X16,anbxj.Crypto_ByteArray
4,0,charlie,-,AnBx_Params,X1;X16,anbxj.AnBx_Params
4,0,charlie,-,AnBx_Params,charlie;@614c5515,anbxj.AnBx_Params
4,0,charlie,alice,sent,charlie;@614c5515,javax.crypto.SealedObject
4,0,alice,-,eq_check,alice!,java.lang.String.toString
