#session,step,active_part,passive_part,action,msg_content,msg_type
1,0,david,-,generateNumber,X0,anbxj.Crypto_ByteArray
1,0,david,-,AnBx_Params,david;bob;X0,anbxj.AnBx_Params
1,0,david,alice,sent,@77caeb3e;@3532ec19,javax.crypto.SealedObject
1,0,alice,david,received,@77caeb3e;@3532ec19,javax.crypto.SealedObject
1,0,alice,-,inv_check,@12843fce;@3dd3bcd,anbxj.Crypto_SealedPair.toString
1,1,alice,bob,sent,@12843fce;@3dd3bcd,javax.crypto.SealedObject
1,1,bob,alice,received,@12843fce;@3dd3bcd,javax.crypto.SealedObject
1,1,bob,-,eq_check,bob,java.lang.String.toString
1,1,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
1,2,bob,-,generateNumber,X1,anbxj.Crypto_ByteArray
1,2,bob,-,AnBx_Params,david;charlie;bob;X1;X0,anbxj.AnBx_Params
1,2,bob,alice,sent,@685cb137;@91161c7,javax.crypto.SealedObject
1,2,alice,bob,received,@685cb137;@91161c7,javax.crypto.SealedObject
1,2,alice,-,inv_check,@6d8a00e3;@548b7f67,anbxj.Crypto_SealedPair.toString
1,3,alice,david,sent,@6d8a00e3;@548b7f67,javax.crypto.SealedObject
1,3,david,alice,received,@6d8a00e3;@548b7f67,javax.crypto.SealedObject
1,3,david,-,eq_check,david,java.lang.String.toString
1,3,david,-,eq_check,bob,java.lang.String.toString
1,3,david,-,eq_check,charlie,java.lang.String.toString
1,3,david,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,4,david,-,AnBx_Params,david;charlie;bob;X1;X0,anbxj.AnBx_Params
1,4,david,alice,sent,@ff5b51f;@4566e5bd,javax.crypto.SealedObject
1,4,alice,david,received,@ff5b51f;@4566e5bd,javax.crypto.SealedObject
1,4,alice,-,inv_check,@23ceabc1;@5d5eef3d,anbxj.Crypto_SealedPair.toString
1,5,alice,charlie,sent,@23ceabc1;@5d5eef3d,javax.crypto.SealedObject
1,5,charlie,alice,received,@23ceabc1;@5d5eef3d,javax.crypto.SealedObject
1,5,charlie,-,eq_check,david,java.lang.String.toString
1,5,charlie,-,eq_check,charlie,java.lang.String.toString
1,6,charlie,-,AnBx_Params,david;charlie,anbxj.AnBx_Params
1,6,charlie,-,AnBx_Params,@1b604f19;X0,anbxj.AnBx_Params
1,6,charlie,alice,sent,@3ffc5af1;@5b275dab,javax.crypto.SealedObject
1,6,alice,charlie,received,@3ffc5af1;@5b275dab,javax.crypto.SealedObject
1,6,alice,-,inv_check,@2ef5e5e3;@36d4b5c,anbxj.Crypto_SealedPair.toString
1,7,alice,david,sent,@2ef5e5e3;@36d4b5c,javax.crypto.SealedObject
1,7,david,alice,received,@2ef5e5e3;@36d4b5c,javax.crypto.SealedObject
1,7,david,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,7,david,-,AnBx_Params,david;charlie,anbxj.AnBx_Params
1,7,david,-,eq_check,david,java.lang.String.toString
1,7,david,-,eq_check,charlie,java.lang.String.toString
1,7,david,-,eq_check,david;charlie,anbxj.AnBx_Params.toString
1,8,david,-,AnBx_Params,@20322d26;X0,anbxj.AnBx_Params
1,8,david,alice,sent,@1e127982;@7e0b0338,javax.crypto.SealedObject
1,8,alice,david,received,@1e127982;@7e0b0338,javax.crypto.SealedObject
1,8,alice,-,inv_check,@58651fd0;@4520ebad,anbxj.Crypto_SealedPair.toString
1,9,alice,bob,sent,@58651fd0;@4520ebad,javax.crypto.SealedObject
1,9,bob,alice,received,@58651fd0;@4520ebad,javax.crypto.SealedObject
1,9,bob,-,eq_check,bob,java.lang.String.toString
1,9,bob,-,AnBx_Params,@f6c48ac;X0,anbxj.AnBx_Params
1,9,bob,-,eq_check,charlie,java.lang.String.toString
1,9,bob,-,eq_check,david,java.lang.String.toString
1,9,bob,-,eq_check,david,java.lang.String.toString
1,9,bob,-,AnBx_Params,@31ef45e3;X0,anbxj.AnBx_Params
1,9,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,9,bob,-,eq_check,X0,anbxj.Crypto_ByteArray.toString
1,10,bob,-,generateNumberData,X2,anbxj.Crypto_ByteArray
1,10,bob,alice,sent,@589838eb;@4f7d0008,javax.crypto.SealedObject
1,10,alice,bob,received,@589838eb;@4f7d0008,javax.crypto.SealedObject
1,10,alice,-,inv_check,@1753acfe;@7c16905e,anbxj.Crypto_SealedPair.toString
1,11,alice,david,sent,@1753acfe;@7c16905e,javax.crypto.SealedObject
1,11,david,alice,received,@1753acfe;@7c16905e,javax.crypto.SealedObject
1,11,david,-,inv_check,X2,anbxj.Crypto_ByteArray.toString
2,0,david,-,generateNumber,X3,anbxj.Crypto_ByteArray
2,0,david,-,AnBx_Params,david;bob;X3,anbxj.AnBx_Params
2,0,david,alice,sent,@13a5fe33;@6d7b4f4c,javax.crypto.SealedObject
2,0,alice,david,received,@13a5fe33;@6d7b4f4c,javax.crypto.SealedObject
2,0,alice,-,inv_check,@675d3402;@51565ec2,anbxj.Crypto_SealedPair.toString
2,1,alice,bob,sent,@675d3402;@51565ec2,javax.crypto.SealedObject
2,1,bob,alice,received,@675d3402;@51565ec2,javax.crypto.SealedObject
2,1,bob,-,eq_check,bob,java.lang.String.toString
2,1,bob,-,eq_check,,sun.security.rsa.RSAPublicKeyImpl.toString
2,2,bob,-,generateNumber,X4,anbxj.Crypto_ByteArray
2,2,bob,-,AnBx_Params,david;charlie;bob;X4;X3,anbxj.AnBx_Params
2,2,bob,alice,sent,@5cb9f472;@72d818d1,javax.crypto.SealedObject
2,2,alice,bob,received,@5cb9f472;@72d818d1,javax.crypto.SealedObject
2,2,alice,-,inv_check,@39aeed2f;@724af044,anbxj.Crypto_SealedPair.toString
2,3,alice,david,sent,@39aeed2f;@724af044,javax.crypto.SealedObject
2,3,david,alice,received,@39aeed2f;@724af044,javax.crypto.SealedObject
2,3,david,-,eq_check,david,java.lang.String.toString
2,3,david,-,eq_check,bob,java.lang.String.toString
2,3,david,-,eq_check,charlie,java.lang.String.toString
2,3,david,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,4,david,-,AnBx_Params,david;charlie;bob;X4;X3,anbxj.AnBx_Params
2,4,david,alice,sent,@1f28c152;@731a74c,javax.crypto.SealedObject
2,4,alice,david,received,@1f28c152;@731a74c,javax.crypto.SealedObject
2,4,alice,-,inv_check,@55f3ddb1;@8bd1b6a,anbxj.Crypto_SealedPair.toString
2,5,alice,charlie,sent,@55f3ddb1;@8bd1b6a,javax.crypto.SealedObject
2,5,charlie,alice,received,@55f3ddb1;@8bd1b6a,javax.crypto.SealedObject
2,5,charlie,-,eq_check,david,java.lang.String.toString
2,5,charlie,-,eq_check,charlie,java.lang.String.toString
2,6,charlie,-,AnBx_Params,david;charlie,anbxj.AnBx_Params
2,6,charlie,-,AnBx_Params,@6d4b1c02;X3,anbxj.AnBx_Params
2,6,charlie,alice,sent,@548e7350;@53b32d7,javax.crypto.SealedObject
2,6,alice,charlie,received,@548e7350;@53b32d7,javax.crypto.SealedObject
2,6,alice,-,inv_check,@1d057a39;@26be92ad,anbxj.Crypto_SealedPair.toString
2,7,alice,david,sent,@1d057a39;@26be92ad,javax.crypto.SealedObject
2,7,david,alice,received,@1d057a39;@26be92ad,javax.crypto.SealedObject
2,7,david,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,7,david,-,AnBx_Params,david;charlie,anbxj.AnBx_Params
2,7,david,-,eq_check,david,java.lang.String.toString
2,7,david,-,eq_check,charlie,java.lang.String.toString
2,7,david,-,eq_check,david;charlie,anbxj.AnBx_Params.toString
2,8,david,-,AnBx_Params,@61f8bee4;X3,anbxj.AnBx_Params
2,8,david,alice,sent,@5c5a1b69;@3dd4520b,javax.crypto.SealedObject
2,8,alice,david,received,@5c5a1b69;@3dd4520b,javax.crypto.SealedObject
2,8,alice,-,inv_check,@59fa1d9b;@28d25987,anbxj.Crypto_SealedPair.toString
2,9,alice,bob,sent,@59fa1d9b;@28d25987,javax.crypto.SealedObject
2,9,bob,alice,received,@59fa1d9b;@28d25987,javax.crypto.SealedObject
2,9,bob,-,eq_check,bob,java.lang.String.toString
2,9,bob,-,AnBx_Params,@29ca901e;X3,anbxj.AnBx_Params
2,9,bob,-,eq_check,charlie,java.lang.String.toString
2,9,bob,-,eq_check,david,java.lang.String.toString
2,9,bob,-,eq_check,david,java.lang.String.toString
2,9,bob,-,AnBx_Params,@2d928643;X3,anbxj.AnBx_Params
2,9,bob,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,9,bob,-,eq_check,X3,anbxj.Crypto_ByteArray.toString
2,10,bob,-,generateNumberData,X5,anbxj.Crypto_ByteArray
2,10,bob,alice,sent,@10bdf5e5;@64bf3bbf,javax.crypto.SealedObject
2,10,alice,bob,received,@10bdf5e5;@64bf3bbf,javax.crypto.SealedObject
2,10,alice,-,inv_check,@3ffc5af1;@5e5792a0,anbxj.Crypto_SealedPair.toString
2,11,alice,david,sent,@3ffc5af1;@5e5792a0,javax.crypto.SealedObject
2,11,david,alice,received,@3ffc5af1;@5e5792a0,javax.crypto.SealedObject
2,11,david,-,inv_check,X5,anbxj.Crypto_ByteArray.toString
3,0,david,-,generateNumber,X6,anbxj.Crypto_ByteArray
3,0,david,-,AnBx_Params,david;bob;X6,anbxj.AnBx_Params
3,0,david,alice,sent,@79be0360;@4973813a,javax.crypto.SealedObject
3,0,alice,david,received,@79be0360;@4973813a,javax.crypto.SealedObject
3,0,alice,-,inv_check,@27efef64;@6f7fd0e6,anbxj.Crypto_SealedPair.toString
3,1,alice,bob,sent,@27efef64;@6f7fd0e6,javax.crypto.SealedObject
3,1,bob,alice,received,@27efef64;@6f7fd0e6,javax.crypto.SealedObject
3,1,bob,-,eq_check,bob,java.lang.String.toString
